"Sr.No","Type","Name of the University","Address","Zip","state","Status"
"380","Private","Haridwar University","5th KM, Roorkee-Haridwar Canal Road, Village-Bajuheri, Roorkee","247667","Uttarakhand","2(f)"
"381","State","Hassan University","Hemagangothri, Hassan","573226","Karnataka","2(f)"
"382","State","Haveri University","Kerimattihalli, Haveri","581110","Karnataka","2(f)"
"383","State","Hemchand Yadav Vishwavidyalaya(Earlier known as Durg Vishwavidyalaya)","Raipur Naka,Durg","491001","Chhattisgarh","2(f)"
"384","State","Hemchandracharya North Gujarat University","Hemchandracharya North Gujarat University, Patan Patan- 384 265. (GUJARAT)","384265","Gujarat","2(f) & 12(B)"
"385","Central","Hemvati Nandan Bahuguna Garhwal University","Madhi Chauras,Srinagar,Garhwal","246174","Uttarakhand","2(f) & 12(B)"
"386","State","Hemvati Nandan Bahuguna Medical Education University","124, Ganga ViharOpposite Roadways WorkshopHaridwar Road, Dehradun","248 001","Uttarakhand","2(f)"
"387","State","Hidayatullah National Law University","Nava Raipur Atal Nagar, RaipurChattisgarh-493661","492002","Chhattisgarh","2(f) & 12(B)"
"388","State","Himachal Pradesh National Law University","Himachal Pradesh National Law University, Ghandal. Sub Tehsil Dhami, Shimla, Himachal Pradesh-171014Sub-Tehsil Dhami,Shimla","171014","Himachal Pradesh","2(f) & 12(B)"
"389","State","Himachal Pradesh Technical University","Government Polytechnic, Baru, Hamirpur","177001","Himachal Pradesh","2(f)"
"390","State","Himachal Pradesh University","Summer Hills, Shimla,","171005","Himachal Pradesh","2(f) & 12(B)"
"391","Private","Himalayan University","401, Takar Complex, Nahalagun","791110","Arunachal Pradesh","2(f)"
"392","State","Hindi University","37/2 Bhairab Dutta Lane, Nandibagan, Salkia, Pilkhana More, Howrah","711106","West Bengal","2(f)"
"393","Deemed to be Universities","Hindustan Institute of Technology  and Science (HITS)","Rajiv Gandhi Salai, Padur, Kelambakkam, Chennai","603103","Tamil Nadu","Section-III"
"394","Deemed to be Universities","Homi Bhabha National Institute, Regd. Office","Training School Complex, Anushaktinagar","400094","Maharashtra","Section-III & 12(B)"
"395","Private","Homoeopathy University","Saipura, SanganerJaipur","302029","Rajasthan","2(f)"
"396","Private","HRIT University","8th Km Stone, Delhi-Meerut Road, HRIT Campus, Ghaziabad","201003","Uttar Pradesh","2(f)"
"397","State","Hyderabad (SIND) National Collegiate University","D. M. Harish Building, 47, Dr R G Thadani Marg,  Worli","400018","Maharashtra","2(f)"
"398","Private","I.E.C. (India Education Centre) University","Baddi, SolanHimachal Pradesh","","Himachal Pradesh","2(f)"
"399","Private","I.E.S. University","IES Campus Ratibad Main RoadBhopal","462044","Madhya Pradesh","2(f)"
"400","State","I.K. Gujaral Punjab Technical University","Jalandhar - Kapurthala Highway, VPO - Ibban, Kapurthala","144603","Punjab","2(f)"
"401","Deemed to be Universities","ICFAI Foundation for Higher Education","Donthanpalli, Sankarpalli Road, Hyderabad","501203","Telangana","Section-III & 12(B)"
"402","Private","ICFAI University","6th Mile,Sovima VillageKohima Road, Dimapur","797112","Nagaland","2(f)"
"403","Private","ICFAI University","Khasra No. 505/1 Village Jamdoli, Agra Road Jaipur-302 031 RajasthanVillage: Jamdoli,Agra Road Jaipur","302031","Rajasthan","2(f)"
"404","Private","ICFAI University","Plot no. 5 Atal Shiksha Kunj  Village kalujhanda P.o Mandhal tel Baddi Distt. Solan H.P","174103","Himachal Pradesh","2(f)"
"405","Private","ICFAI University","KUMHARI","490042","Chhattisgarh","2(f)"
"406","Private","IFTM University","Lodhipur Rajpur, Delhi Road, Moradabad (UP)Moradabad-244 102","244102","Uttar Pradesh","2(f)"
"407","Private","IIHMR University","1, Prabhu Dayal Marg, Near Sanganer Airport, JaipurNear Sanganer AirportJaipur","302029","Rajasthan","2(f)"
"408","Private","IILM University","IILM University, 1, Knowledge Centre, Golf Course Road, Sector-53, Gurugram-Haryana-122003Golf course RoadSector-53, Gurugram","122003","Haryana","2(f)"
"409","Private","IILM University","Plot No. 16-18Knowledge park-II,Greater Noida","201308","Uttar Pradesh","2(f)"
"410","Private","IIMT University","""O"" Pocket, Ganga Nagar, Mawana Road, MeerutMawana RoadMeerut","245101","Uttar Pradesh","2(f) & 12(B)"
